"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit","track_name","track_number","album_name","key_mode","popularity"
"One Direction","2012-11-12",2012,0.569,0.911,2,-2.705,0.0772,0.0194,0,0.0925,0.51,160.054,4,178440,FALSE,"Back For You",11,"Take Me Home (Expanded Edition)","D major",59
"Harry Styles","2019-12-13",2019,0.653,0.869,5,-3.725,0.0382,0.128,2.2e-05,0.046,0.697,122.017,4,197346,FALSE,"Treat People With Kindness",11,"Fine Line","F major",72
"Louis Tomlinson","2022-11-11",2022,0.553,0.454,2,-6.698,0.036,0.547,4.26e-06,0.0718,0.487,155.068,4,178853,FALSE,"Common People",13,"Faith In The Future (Deluxe)","D major",61
"Niall Horan","2020-03-13",2020,0.591,0.841,4,-4.351,0.0304,0.0119,0,0.395,0.392,109.034,4,158805,FALSE,"Nice To Meet Ya",6,"Heartbreak Weather","E minor",63
"Liam Payne","2019-12-06",2019,0.402,0.541,5,-4.597,0.0599,0.508,0,0.205,0.243,195.843,4,208708,FALSE,"Hips Don't Lie",5,"LP1","F major",39
"Niall Horan","2020-03-13",2020,0.524,0.49,2,-5.582,0.0308,0.151,0,0.264,0.249,93.335,4,194453,FALSE,"Dear Patience",3,"Heartbreak Weather","D major",56
"One Direction","2015-11-13",2015,0.655,0.699,11,-4.421,0.0493,0.0352,0,0.064,0.802,86.704,4,187426,FALSE,"History",13,"Made In The A.M. (Deluxe Edition)","B major",74
"One Direction","2015-11-13",2015,0.678,0.869,0,-4.345,0.0461,0.149,0,0.0593,0.882,123.964,4,200533,FALSE,"What a Feeling",10,"Made In The A.M. (Deluxe Edition)","C minor",67
"Liam Payne","2019-12-06",2019,0.582,0.257,7,-10.079,0.0355,0.811,0,0.514,0.297,140.007,4,181144,FALSE,"All I Want (For Christmas)",18,"LP1","G minor",43
"Louis Tomlinson","2022-11-11",2022,0.533,0.835,11,-6.466,0.0707,0.00259,2.25e-05,0.2,0.201,127.968,4,219213,FALSE,"She Is Beauty We Are World Class",12,"Faith In The Future (Deluxe)","B minor",60
"One Direction","2012-11-12",2012,0.538,0.819,4,-2.662,0.0435,0.0445,0,0.215,0.478,82.085,4,203546,FALSE,"Last First Kiss",5,"Take Me Home (Expanded Edition)","E major",66
"Niall Horan","2017-10-20",2017,0.723,0.601,11,-7.085,0.0337,0.00534,1.74e-06,0.162,0.718,124.01,4,223814,FALSE,"On The Loose",1,"Flicker (Deluxe)","B minor",59
"One Direction","2014-11-17",2014,0.515,0.773,6,-4.848,0.0479,0.23,1.29e-06,0.0938,0.379,128.001,4,210893,FALSE,"Fool's Gold",6,"FOUR (Deluxe)","F# major",69
"One Direction","2013-11-25",2013,0.591,0.899,0,-3.768,0.0536,0.00726,0,0.393,0.446,139.547,4,197920,FALSE,"Little White Lies",13,"Midnight Memories (Deluxe)","C major",60
"One Direction","2012-11-12",2012,0.495,0.585,9,-5.49,0.0311,0.329,0,0.406,0.318,121.998,4,208040,FALSE,"Summer Love",13,"Take Me Home (Expanded Edition)","A major",59
"ZAYN","2016-03-25",2016,0.584,0.7,11,-4.275,0.0456,0.117,0,0.0939,0.438,124.944,4,202746,TRUE,"PILLOWTALK",2,"Mind Of Mine (Deluxe Edition)","B major",78
"Niall Horan","2017-10-20",2017,0.677,0.401,9,-8.467,0.0308,0.712,0,0.116,0.195,111.825,4,232852,FALSE,"This Town",2,"Flicker (Deluxe)","A major",80
"Harry Styles","2022-05-20",2022,0.576,0.457,0,-6.473,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,4,218577,FALSE,"Satellite",11,"Harry's House","C major",82
"One Direction","2012-11-12",2012,0.709,0.22,7,-11.856,0.0327,0.811,0,0.175,0.53,110.076,4,219040,FALSE,"Little Things",3,"Take Me Home (Expanded Edition)","G major",76
"ZAYN","2016-03-25",2016,0.643,0.597,8,-8.451,0.12,0.509,9.9e-06,0.107,0.375,119.827,4,205786,FALSE,"dRuNk",6,"Mind Of Mine (Deluxe Edition)","G# major",57
"One Direction","2012-05-25",2012,0.498,0.715,0,-4.446,0.0315,0.0607,0,0.274,0.225,151.809,4,229106,FALSE,"More Than This",4,"Up All Night","C major",65
"ZAYN","2018-12-14",2018,0.625,0.198,4,-15.094,0.034,0.83,0.182,0.112,0.0701,106.531,4,241653,FALSE,"Icarus Interlude",13,"Icarus Falls","E minor",46
"ZAYN","2018-12-14",2018,0.639,0.402,7,-8.734,0.158,0.594,0,0.382,0.766,91.966,4,171133,FALSE,"Rainberry",23,"Icarus Falls","G major",54
"ZAYN","2018-12-14",2018,0.644,0.584,10,-5.224,0.0359,0.126,0,0.148,0.485,121.823,4,220720,FALSE,"Tonight",7,"Icarus Falls","A# major",53
"One Direction","2012-05-25",2012,0.584,0.9,4,-3.637,0.0611,0.00646,0,0.267,0.893,125.007,4,175093,FALSE,"Stand Up",14,"Up All Night","E major",59
"One Direction","2013-11-25",2013,0.568,0.691,9,-5.225,0.0306,0.188,0,0.0861,0.396,131.007,4,221733,FALSE,"Through the Dark",11,"Midnight Memories (Deluxe)","A major",64
"ZAYN","2018-12-14",2018,0.541,0.495,6,-8.08,0.136,0.112,0,0.234,0.434,102.517,4,180426,FALSE,"Talk To Me",10,"Icarus Falls","F# minor",49
"One Direction","2014-11-17",2014,0.554,0.335,5,-5.513,0.0281,0.618,0,0.0927,0.298,133.709,4,158320,FALSE,"Once in a Lifetime",15,"FOUR (Deluxe)","F major",59
"One Direction","2013-11-25",2013,0.645,0.78,8,-5.165,0.0319,0.218,0,0.0919,0.372,120.008,4,200400,FALSE,"Right Now",9,"Midnight Memories (Deluxe)","G# major",83
"Louis Tomlinson","2020-01-31",2020,0.614,0.605,0,-5.63,0.0319,0.21,0,0.162,0.333,127.099,4,217866,FALSE,"Two of Us",3,"Walls","C major",62
"One Direction","2012-11-12",2012,0.614,0.984,1,-2.419,0.0773,0.0118,0,0.65,0.776,142.002,4,182133,FALSE,"Still The One",17,"Take Me Home (Expanded Edition)","C# minor",61
"Niall Horan","2017-10-20",2017,0.431,0.423,4,-8.623,0.0349,0.122,3.45e-06,0.0889,0.291,176.856,3,214525,FALSE,"Paper Houses",6,"Flicker (Deluxe)","E major",59
"One Direction","2012-05-25",2012,0.606,0.929,0,-2.182,0.055,0.023,0,0.101,0.622,139.022,4,194693,FALSE,"Up All Night",5,"Up All Night","C major",64
"Harry Styles","2017-05-12",2017,0.671,0.156,8,-16.288,0.0371,0.804,0.0518,0.113,0.201,94.08,4,211960,FALSE,"From the Dining Table",10,"Harry Styles","G# major",74
"One Direction","2012-05-25",2012,0.681,0.889,7,-4.339,0.0396,0.0815,0,0.319,0.634,126.909,4,205560,FALSE,"Stole My Heart",13,"Up All Night","G major",58
"ZAYN","2016-03-25",2016,0.222,0.184,0,-13.235,0.0335,0.925,0.000298,0.1,0.156,184.171,5,224320,FALSE,"BLUE",15,"Mind Of Mine (Deluxe Edition)","C major",50
"Harry Styles","2022-05-20",2022,0.555,0.536,7,-8.233,0.0452,0.669,0,0.0623,0.203,118.057,4,191638,FALSE,"Love Of My Life",13,"Harry's House","G major",80
"ZAYN","2021-01-15",2021,0.724,0.64,9,-5.545,0.171,0.0965,3.06e-05,0.268,0.264,149.925,4,188800,FALSE,"Windowsill (feat. Devlin)",9,"Nobody Is Listening","A major",42
"Harry Styles","2022-05-20",2022,0.714,0.728,10,-4.595,0.0468,0.298,0,0.106,0.901,114.996,4,177954,FALSE,"Late Night Talking",2,"Harry's House","A# major",89
"ZAYN","2018-12-14",2018,0.684,0.377,0,-8.568,0.112,0.732,1.5e-06,0.145,0.407,139.886,4,190120,FALSE,"Imprint",5,"Icarus Falls","C major",49
"ZAYN","2016-03-25",2016,0.504,0.458,5,-9.06,0.102,0.233,0.00278,0.0977,0.416,118.161,4,176333,TRUE,"BRIGHT",16,"Mind Of Mine (Deluxe Edition)","F minor",50
"ZAYN","2021-01-15",2021,0.557,0.292,10,-14.414,0.113,0.942,0.000201,0.106,0.0444,141.684,3,187560,FALSE,"Calamity",1,"Nobody Is Listening","A# minor",43
"Louis Tomlinson","2022-11-11",2022,0.639,0.855,7,-3.638,0.0289,0.00176,0,0.165,0.925,125.015,4,173946,FALSE,"Headline",9,"Faith In The Future (Deluxe)","G major",62
"Louis Tomlinson","2020-01-31",2020,0.559,0.592,9,-6.481,0.0323,0.246,0,0.378,0.359,147.931,4,184626,FALSE,"Fearless",9,"Walls","A minor",57
"Harry Styles","2019-12-13",2019,0.567,0.267,4,-6.502,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,4,240133,FALSE,"Falling",6,"Fine Line","E major",84
"One Direction","2015-11-13",2015,0.546,0.657,1,-4.787,0.0332,0.0928,0,0.119,0.361,133.188,4,196933,FALSE,"Love You Goodbye",11,"Made In The A.M. (Deluxe Edition)","C# major",67
"ZAYN","2016-03-25",2016,0.565,0.832,10,-5.732,0.114,0.0247,0,0.26,0.233,112.827,4,192133,FALSE,"LIKE I WOULD",17,"Mind Of Mine (Deluxe Edition)","A# minor",64
"One Direction","2015-11-13",2015,0.687,0.447,8,-6.586,0.0486,0.0829,0,0.0878,0.501,114.578,4,202640,FALSE,"Walking in the Wind",15,"Made In The A.M. (Deluxe Edition)","G# major",69
"Louis Tomlinson","2020-01-31",2020,0.569,0.556,4,-8.395,0.0284,0.0536,2e-06,0.32,0.228,99.98,4,229266,FALSE,"Too Young",5,"Walls","E major",58
"One Direction","2012-11-12",2012,0.599,0.595,2,-5.316,0.0281,0.0634,0,0.103,0.474,117.031,4,212893,FALSE,"Change My Mind",8,"Take Me Home (Expanded Edition)","D major",60
"One Direction","2014-11-17",2014,0.562,0.703,1,-5.457,0.0361,0.00205,0,0.15,0.538,122.986,4,194200,FALSE,"Illusion",14,"FOUR (Deluxe)","C# major",58
"ZAYN","2016-03-25",2016,0.822,0.534,7,-8.234,0.0487,0.0792,0,0.126,0.514,100.008,4,252640,TRUE,"lUcOzAdE",13,"Mind Of Mine (Deluxe Edition)","G major",51
"Niall Horan","2020-03-13",2020,0.465,0.717,9,-5.607,0.0629,0.143,0,0.0643,0.513,199.783,4,197890,FALSE,"Small Talk",5,"Heartbreak Weather","A minor",59
"ZAYN","2018-12-14",2018,0.647,0.513,9,-6.089,0.0389,0.356,0,0.0973,0.506,92.078,4,195466,FALSE,"Back To Life",3,"Icarus Falls","A minor",56
"Liam Payne","2019-12-06",2019,0.873,0.495,6,-5.446,0.0518,0.199,0,0.0805,0.546,106.033,4,202061,FALSE,"Strip That Down (feat. Quavo)",12,"LP1","F# major",70
"Louis Tomlinson","2022-11-11",2022,0.492,0.822,2,-4.892,0.0647,0.0101,0,0.0793,0.409,159.991,4,205186,FALSE,"Silver Tongues",11,"Faith In The Future (Deluxe)","D major",66
"ZAYN","2018-12-14",2018,0.641,0.452,5,-12.108,0.0868,0.693,0.00721,0.159,0.316,93.018,4,154800,FALSE,"Good Guy",14,"Icarus Falls","F minor",46
"One Direction","2013-11-25",2013,0.574,0.329,1,-6.829,0.0274,0.22,0,0.0986,0.356,130.993,4,237933,FALSE,"You & I",5,"Midnight Memories (Deluxe)","C# major",77
"ZAYN","2018-12-14",2018,0.45,0.646,0,-4.443,0.0566,0.00442,0.000473,0.0855,0.3,90.246,1,187160,TRUE,"Too Much (feat. Timbaland)",27,"Icarus Falls","C major",54
"One Direction","2014-11-17",2014,0.536,0.768,10,-5.948,0.0347,0.00433,0,0.114,0.545,77.217,4,228133,FALSE,"Steal My Girl",1,"FOUR (Deluxe)","A# minor",81
"ZAYN","2018-12-14",2018,0.594,0.382,0,-11.533,0.163,0.904,0.00162,0.112,0.22,82.452,4,208000,FALSE,"Satisfaction",17,"Icarus Falls","C major",49
"ZAYN","2018-12-14",2018,0.46,0.566,9,-5.637,0.0502,0.239,5.96e-06,0.0967,0.189,168.408,4,185373,FALSE,"Let Me",1,"Icarus Falls","A major",68
"Niall Horan","2017-10-20",2017,0.735,0.425,0,-6.648,0.0464,0.011,0,0.055,0.848,85.896,4,188174,FALSE,"Slow Hands",4,"Flicker (Deluxe)","C major",76
"ZAYN","2016-03-25",2016,0.581,0.32,11,-8.807,0.0309,0.798,0.0105,0.206,0.332,110.04,4,57320,FALSE,"MiNd Of MiNdd (Intro)",1,"Mind Of Mine (Deluxe Edition)","B minor",49
"Louis Tomlinson","2022-11-11",2022,0.711,0.893,2,-4.687,0.0581,0.0032,9.13e-05,0.151,0.68,124.014,4,207840,FALSE,"Lucky Again",4,"Faith In The Future (Deluxe)","D major",65
"One Direction","2012-05-25",2012,0.644,0.799,7,-3.575,0.0366,0.0136,0,0.0811,0.79,130.051,4,217453,FALSE,"Everything About You",10,"Up All Night","G major",56
"Liam Payne","2019-12-06",2019,0.587,0.648,11,-6.927,0.0439,0.0561,0,0.115,0.281,144.028,4,220140,FALSE,"Midnight (feat. Liam Payne)",1,"LP1","B minor",42
"Louis Tomlinson","2022-11-11",2022,0.611,0.676,11,-5.655,0.026,0.0436,0,0.114,0.777,94.99,4,217026,FALSE,"Angels Fly",14,"Faith In The Future (Deluxe)","B major",64
"Harry Styles","2019-12-13",2019,0.53,0.512,7,-9.261,0.0259,0.615,0.00453,0.129,0.411,95.946,4,259186,FALSE,"Cherry",5,"Fine Line","G major",74
"One Direction","2013-11-25",2013,0.547,0.649,2,-5.039,0.0298,0.00793,0,0.201,0.361,114.019,4,236520,FALSE,"Something Great",12,"Midnight Memories (Deluxe)","D major",58
"Niall Horan","2017-10-20",2017,0.206,0.663,7,-6.365,0.0405,0.000238,0,0.124,0.176,185.387,3,240681,FALSE,"On My Own",11,"Flicker (Deluxe)","G major",54
"One Direction","2015-11-13",2015,0.73,0.703,0,-5.672,0.0369,0.109,0,0.0657,0.595,138.113,4,192120,FALSE,"Drag Me Down",2,"Made In The A.M. (Deluxe Edition)","C minor",80
"ZAYN","2021-01-15",2021,0.336,0.43,1,-11.742,0.043,0.325,0.000636,0.143,0.497,169.087,3,164733,FALSE,"Unf**kwitable",8,"Nobody Is Listening","C# major",44
"Harry Styles","2022-05-20",2022,0.721,0.479,9,-9.669,0.226,0.321,0.00156,0.182,0.902,164.948,3,140241,FALSE,"Keep Driving",10,"Harry's House","A major",80
"Niall Horan","2020-03-13",2020,0.452,0.766,2,-4.597,0.134,0.0181,0,0.272,0.334,153.348,4,168924,FALSE,"Everywhere",9,"Heartbreak Weather","D major",61
"Louis Tomlinson","2020-01-31",2020,0.433,0.671,11,-5.549,0.028,0.0196,0,0.138,0.179,88.987,4,229800,FALSE,"Walls",6,"Walls","B major",58
"One Direction","2013-11-25",2013,0.523,0.939,8,-3.311,0.0454,0.000754,0,0.0406,0.788,160.019,4,174360,FALSE,"Why Don't We Go There",15,"Midnight Memories (Deluxe)","G# major",60
"ZAYN","2021-01-15",2021,0.691,0.41,2,-7.135,0.245,0.353,0,0.131,0.0904,84.632,4,174520,FALSE,"Better",2,"Nobody Is Listening","D major",51
"Niall Horan","2020-03-13",2020,0.723,0.726,1,-3.835,0.0472,0.0564,0.000126,0.057,0.962,100.051,4,176283,FALSE,"No Judgement",12,"Heartbreak Weather","C# minor",63
"One Direction","2014-11-17",2014,0.59,0.944,10,-4.323,0.0499,0.00154,0,0.322,0.596,103.991,4,266600,FALSE,"Change Your Ticket",13,"FOUR (Deluxe)","A# major",59
"Liam Payne","2019-12-06",2019,0.675,0.606,5,-5.102,0.0285,0.297,0,0.23,0.317,103.968,4,189422,FALSE,"Remember",3,"LP1","F minor",50
"One Direction","2015-11-13",2015,0.633,0.565,0,-5.179,0.0242,0.0772,2.31e-05,0.168,0.539,145.001,4,192160,FALSE,"Long Way Down",7,"Made In The A.M. (Deluxe Edition)","C major",60
"ZAYN","2018-12-14",2018,0.456,0.492,2,-7.963,0.476,0.527,0.00949,0.256,0.611,119.346,4,168040,TRUE,"Fresh Air",22,"Icarus Falls","D minor",45
"Niall Horan","2017-10-20",2017,0.564,0.834,7,-5.277,0.0394,0.00074,0,0.0808,0.639,135.005,4,200626,FALSE,"The Tide",13,"Flicker (Deluxe)","G major",52
"One Direction","2015-11-13",2015,0.556,0.902,4,-5.143,0.0449,9.17e-05,0,0.0888,0.96,145.914,4,175013,FALSE,"Temporary Fix",14,"Made In The A.M. (Deluxe Edition)","E major",67
"One Direction","2013-11-25",2013,0.6,0.895,1,-5.807,0.0468,0.001,0,0.145,0.383,129.987,4,161333,FALSE,"Alive",17,"Midnight Memories (Deluxe)","C# major",58
"One Direction","2012-11-12",2012,0.697,0.894,2,-4.891,0.0599,0.0543,0,0.631,0.795,124.016,4,184306,FALSE,"Loved You First",15,"Take Me Home (Expanded Edition)","D major",59
"Harry Styles","2017-05-12",2017,0.624,0.647,3,-4.68,0.0335,0.0169,0.0038,0.221,0.379,136.022,4,278800,FALSE,"Woman",9,"Harry Styles","D# minor",71
"Harry Styles","2017-05-12",2017,0.375,0.93,2,-2.631,0.0561,0.00064,0,0.318,0.491,147.124,4,176386,FALSE,"Kiwi",7,"Harry Styles","D major",77
"One Direction","2014-11-17",2014,0.681,0.864,3,-3.276,0.0301,0.00477,0,0.122,0.921,132.929,4,174080,FALSE,"Fireproof",9,"FOUR (Deluxe)","D# major",68
"ZAYN","2021-01-15",2021,0.532,0.582,7,-6.652,0.0436,0.00237,0.00299,0.126,0.163,161.703,4,232266,FALSE,"Sweat",7,"Nobody Is Listening","G minor",47
